,Pozitif_yazi,Pozitif_sonuc
122,one   turkish largest bank   akbank     reached  24h  '   love  bitcoin  ethereum  tron  bnb  justinsuntron  binance  cz binance  pancakeswap  aaveaave  defi,"Sentiment(polarity=0.5, subjectivity=0.6)"
123,happy birthday  msdhoni  dilipkumar  happybirthdaymsdhoni  happybirthdaydhoni  euro2020  msdhoni  captaincool  ripdilipkumar  Qi Xi   Qi Xi noYuan iShi   dilipkumarrip  mytwitteranniversary  rip  eng  SbH lkhyr  gunaydin  covid19  engden  msdhonibirthday  legend  akbank https  co vrskdko7qw,"Sentiment(polarity=0.8, subjectivity=1.0)"
124, mindthrust akbank still  working   clue  connected   hackers really suck ,"Sentiment(polarity=0.2, subjectivity=0.2)"
125,   ready    start together  copaamerica  euro2020gr  ita  akbank  copaamerica2021  personaltrainer  chiesa  fenerbahce https  co g6p0d0wi0c,"Sentiment(polarity=0.2, subjectivity=0.5)"
126,massive ransomware attack  https  co 1c8xi72rno   many      downstream businesses around  world   compromised  piracy    cognitiveera   akbank   major turkish bank    offline    hours  could    victim       coincidence ,"Sentiment(polarity=0.121875, subjectivity=0.5125)"
127,one   biggest  turkish  bank  akbank systems completely      hours     tagged   first disaster   centralized  banking  system  future   trigger  decentralized  banking   bitcoin  documentingbtc  100trillionusd  apompliano  gladstein,"Sentiment(polarity=0.11666666666666665, subjectivity=0.28611111111111115)"
128,love  mix    akbank  cabinetreshuffle  aifaihmlaadkrabang  lkbs@ lSdqy@  `bdl`zyz bn fhd  Xie Dan Sheng Ji 2021  raebidcchana  frH kbr  sngephsachaichthunekhaaphuuenthii  michelemerlo  euro2020  naturelovers  sngephsachaichthunekhaaphuuenthii,"Sentiment(polarity=0.5, subjectivity=0.6)"
129, oukonunaka  shows us  '   proper disaster recovery plan  even  '   warm site  continue  services    shame    akbank,"Sentiment(polarity=0.3, subjectivity=0.35)"
130, cz binance  pancakeswap cz  right   turkey   akbank mobile  credit card applications  crashed     hours     even pay  bills ,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
131,today  akbank  internet  banking  services   stopped    technical issues  almost  systems within  bank stopped  including   atm        loud  every platform  though clear  support  decentralization   cryptocurrencies  bitcoin  tron,"Sentiment(polarity=0.06666666666666667, subjectivity=0.42777777777777776)"
132,love token  lve  website officially open https  co 5pidyhxf6c  akbank,"Sentiment(polarity=0.25, subjectivity=0.55)"
133,among top private banks  ykbnk   isctr   garan  akbank  usually considered  least technologically advanced   shutdown   surprise  much initially    hours  still  long even  akbank  standards ,"Sentiment(polarity=0.042857142857142864, subjectivity=0.3607142857142857)"
134,love token  lve  airdrop began    days come  buy     late https  co yx8cswu6bk  akbank,"Sentiment(polarity=0.1, subjectivity=0.6)"
135, akbank   services       straight hours  even mobile app   launch  credit cards   work  millions   affected    security issues   bank announced   akbnk,"Sentiment(polarity=0.2, subjectivity=0.4)"
136,akbank says  systems shutting   nothing    cyber attacks  hacks    another way  saying  systems   shit   crashed      sure    better ,"Sentiment(polarity=0.26666666666666666, subjectivity=0.7296296296296297)"
137, akbank akbank mobile  working    hr    good sign ,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
138, akbank  akbankdestek  someone pushed local code  product    cyber attack     13th hour without  action  explanation ,"Sentiment(polarity=0.03333333333333333, subjectivity=0.03333333333333333)"
